,tweet
53,"Flipkart SmartBuy Icecool Green 1000 ml Bottle

at Rs 149 (50% Off)

https://t.co/4SgYwGZZA0"
54,"RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G 5G
Android
Apple App Store
Uber
Lyft…"
55,@Flipkart is there anybody for help?
56,"RT @0699eb9226f141d: I have stil not opened the seal of the packet,however @Flipkart @flipkartsupport simply denied to take the return. Did…"
57,"RT @Sourabh61887213: @Flipkart @flipkartsupport  now you providing me solution that i'll cancel this order and place new one.
You guys don'…"
58,@Flipkart Any exchange offers
59,Happy to order Asus 6Z from @flipkartsupport today and the product delivery date is the 1st day of new year (01.01.… https://t.co/yZVEYj4Aa7
60,"@Flipkart 
Order ID - OD117281492197842000
I have raised many times complaint for my amount rs 7999 refund my bank… https://t.co/yl5iWCKi5D"
61,@AvijitM00039466 Hope we were able to help you with your query. Thanks for shopping on Flipkart! ^RS https://t.co/5DoqNukc8t
62,@Flipkart looks like my problem has been solved
63,"Fake flipkart and clueless customer service.

I am not getting 6000 instant discount on 6 month EMI for hdfc credit… https://t.co/0k9Qjk2f7A"
64,@Flipkart  Flipstart Days Outside it says 1st to 3rd Jan &gt; insides it says 1st to 3rd NOV !!🥴😅😆😂🤣 https://t.co/xOHOEcmGyF
65,@flipkartsupport Here u online buyers u have attention here these flipkart selling OLD DEFETED ITEMS IN ONLINE WITH… https://t.co/1W46yAaUnL
66,From tech giants swallowing young competition to fashion houses crumbling only to be bought out by those who manage… https://t.co/tpuNcivnjm
67,"RT @realmemobiles: Even experts agree that with its 5 dimensional design, multiple layers of shadow and Gorilla 5 Generation glass, the #64…"
68,"@Flipkart @jagograhakjago @forum_consumer @ConsumerReports 
Ye log product deliver nhi krta h. Max re-attempt ke na… https://t.co/jHM14DkKla"
69,@Flipkart @flipkartsupport Very Bad experience with you I feel cheated as you delivered me mobile with the damage o… https://t.co/kWRxMLnUCC
70,RT @realmemobiles: Couldn’t make that 12 AM birthday wish call due to no battery? The 50W SuperVOOC on #realmeX2Pro &amp; 30W VOOC 4.0 on #real…
71,"@Flipkart : my account is blocked, and you says you blocked because unusual numbers of returns but I returned those… https://t.co/F5u2lo9yke"
72,@phani461505 Sorry about that. It would be great if you can help us with the order details by clicking the below li… https://t.co/Iqld73pLzE
73,@ASUS_ROG_IN @Flipkart Card to share the 1tb updates please?
74,@Flipkart What means of this mail. How can you dicide that i am re-saller.i want to proper reason with explain.plea… https://t.co/KLH5Wj8AUT
75,"RT @vickyvenkatt: Dear myntra,
       Why cannot i have free shipping charge even in a free shipping charge offer?I didn’t bought a single…"
76,@Flipkart @flipkartsupport what the hell service is provided by Flipkart I am very disappointed fromthe Flipkart sevices
77,@flipkartsupport I loss everything from flipkart my job mental torcher
78,"I return my order and. I didn't get any refund amount at yet. Casio G715 G-Shock Analog Digital watch for men
@Flipkart @flipkartsupport"
79,"@phani461505 To ensure your Flipkart account details are safe, please start a private chat with us by clicking on t… https://t.co/IIgz5O8zaz"
80,"@amazon @AmazonHelp 
कितने साल और रुखु मेरी  complaint  के solution k liye sir. 
@Flipkart https://t.co/FoVWNvTzI5"
81,@Flipkart Number 1 online cheating business doing flipkart please my request all online customers don't buy electro… https://t.co/d0WsgUU8ds
82,"@Ashwinirajbihar Sorry about that. We'd request you to update the Flipkart mobile application once and try again, i… https://t.co/djcOjqqevb"
83,RT @Varsha44148025: Myself varsha I purchased a apple watch from flipkart company but he delivered duplicate product When I raise a complai…
84,Just a trial for #modelling #memories #shadabali #amazon #flipkart #artist 😋😍🕴️ https://t.co/bqKiYxAGKD
85,RT @Ashwinirajbihar: Hey Flipkart and Google pay I have seen this offer on flipkart that if i pay through GooglePay then I'll get Scratch c…
86,I bought this sleeper for Rs 1499 from your verified shop and today it is being offered by Flipkart for ₹ 897 only… https://t.co/ol9bRFkBYl
87,Hey Flipkart and Google pay I have seen this offer on flipkart that if i pay through GooglePay then I'll get Scratc… https://t.co/TTnAX9Ln88
88,Is his system not detected high no. Of cancellation. So Flipkart and his seller both are fraud and he only knows th… https://t.co/f9JP5idl3F
89,या कस्टमर के लिए भी कुछ एंड उससे पहले मैंने एक और ऑडर किया था तो आप के कुरियर पार्टनर ने मैसेज किया की जो addres आप… https://t.co/p5bRV5SvXG
90,कस्टमर केयर वालो ने प्रोमिस डिलीवरी date को  27dec कर दिया फिर भी डिलीवरी नहीं हुई मैंने फिर 28dec को कॉल किया तो 2… https://t.co/X1krD626DA
91,but on 22nd Dec 2019 I received an email by Flipkart team and he mentioned that your return request has been cancel… https://t.co/OsvN94j8el
92,"@Flipkart @SamsungIndia dono company mujhse mafi mange...galaxy m30 S diffetive piece bhejne ke liye,khas kar Samsu… https://t.co/dL79aQiZ99"
93,@Kamal49794410 @ShieldVoC @amazon @AmazonHelp @amazonIN Oh i thought there are no compitition of @Flipkart on this… https://t.co/vi4hY9MHpO
94,@Flipkart Hi
95,@flipkartsupport @Flipkart so bad service not touch propper work return request piche bager hi cancel kardedete he… https://t.co/yvUa32AWEw
96,@narendramodi Sir Flipkart and Amazon control karo
97,RT @HeartinJK: Is @Flipkart planning to patent their winning sales strategy? They sell items not available and with unrealistic prices and…
98,"Since fintech apps are inherently plagued by low retention, fintech will continue it's march towards whatever has t… https://t.co/ZSHmqQJNC4"
99,"RT @goyalgourav885: @flipkartsupport Hey, as soon as i tweeted to your handle i got a call from fake flipkart representative trying to spam…"
100,Fraud with me on flipkart..
101,RT @bairwa91: Fraud in flipkart with me.. I order red me mi 8 but receive power bank in box.. https://t.co/Kn01ZeHbQ0
102,Fraud in flipkart with me.. I order red me mi 8 but receive power bank in box.. https://t.co/Kn01ZeHbQ0
103,Myself varsha I purchased a apple watch from flipkart company but he delivered duplicate product When I raise a com… https://t.co/RL02iGaruY
104,@IndiaPOCO @Flipkart @amazonIN When Android 10 update can expected
105,"@0699eb9226f141d In the future, please do not share your details like phone/IMEI number, email address or order ID… https://t.co/eiIcM4U7QE"
106,@TechnicalGuruji @YouTubeIndia Bhai maine ek mobile Flipkart pr online Kiya tha uski payment Maine debit card se ki… https://t.co/9sT9gAbFDB
107,"I have stil not opened the seal of the packet,however @Flipkart @flipkartsupport simply denied to take the return.… https://t.co/rGP0HdAKJO"
108,"@Flipkart @flipkartsupport @rachitbhat89 my Order ID is OD117421510645257000 placed 26th Dec,mean while it's delivr… https://t.co/P8aWJANlHQ"
109,"RT @RedmiIndia: Get your favourite #Redmi smartphone at blockbuster prices right now!

Avail the #BestOf2019 on https://t.co/cwYEXdVQIo, @a…"
110,"RT @XiaomiIndia: Looking for the #BestOf2019 Android smartphones? Choose #RedmiGo and #MiA3.

Now at special festive prices. Get yours from…"
111,#flipkart flipkart is now flipkart. We hate it's policy about blocking of accounts and forfeited the amount associated in wallet.
112,@RedmiIndia @amazonIN @Flipkart #filipkart fraud payment does not provide refund
113,@Flipkart my account with mail id smserp3@gmail.cimis blocked. It has 1000 in it.pls unblock it asap.
114,RT @msdhoni: Very excited to bring you guys a special treat on my birthday! Take part in the #flashsale of @SoundlogicIndia new Voice Assis…
115,"RT @msdhoni: Great weather and Pubg.This headset feels so comfortable, I could wear it all day. Check out @soundlogic.in's Voice Assistant…"
116,"@Flipkart  @flipkartsupport 
With single wash by using easy my new ucb sweater loosened up totally
I need exchange… https://t.co/HLiYPidRI5"
117,"RT @goyalgourav885: @flipkartsupport Affiliate id goyalvineet07@gmail.com, payment of Rs 3084 is not received and is showing paid on Flipka…"
118,@flipkartsupport Ur call center team ka not helping. U r not helping me. Who will help me - Consumer Court? Return… https://t.co/yMXYJPar0Z
119,"RT @Gsatra1: #flipkart customer care number
6289872068==9361436089
9361436089==6289872068
6289872068==9361436089
Online toll free customer…"
120,"RT @_prateekbh: My last decade:
👨‍🎓 Graduated.
💲Had most fun job @flipkart_tech
❣️ Married my long time crush @_megsachdev
😍 Got a job at @…"
121,"@RBI @AxisBankSupport @consumerforum_ 
I ordered a product of Rs. 14061 through Flipkart on 4th September and cance… https://t.co/UIZzfRlSVs"
122,@Flipkart @flipkartsupport @rachitbhat89 @nidhibhatnagar7
123,@flipkartsupport Why so... When the additional product ordered with it is delivered 4 days back... @FlipkartStories @Flipkart @flipkart
124,"I am not getting any call form @Flipkart till now... Its seems they dont care 

@timesofindia @ndtv"
125,@Flipkart This is the worst experience with the customer care. My order is pending for a week &amp; all your customer c… https://t.co/djbqi5uLcM
126,@_akgupta Thank you for sharing the details with us. We understand your concern about the Flipkart account. Be assu… https://t.co/T9OI1BrlKy
127,@amazonIN complete rubbish service and a bundle of lies. Amazon prime is a bunch of promises with no commitment @Flipkart @
128,@flipkartsupport Thanks I understand that you are not able to help me. The worsted customer service I have received… https://t.co/OPqLYHkY2i
129,"@RedmiIndia @amazonIN @Flipkart What about Gorilla Glass 5??
https://t.co/bRX4RiI6hT"
130,"@RedmiIndia @amazonIN @Flipkart What about Gorilla Glass 5?? 
https://t.co/bRX4RiI6hT"
131,Dear @SamsungIndia maine @Flipkart se #Samsung_Guru_Music_2 Date - 6 #July ko liya tha lakin iski battery bhut tez… https://t.co/sEwkpcyjub
132,RT @aakankshalath: @narendramodi @amazonIN @Flipkart  Is it possible to put a #madeinindia tag on all the products on your site? Will great…
133,@RedmiIndia @amazonIN @Flipkart Poco f2 when..(
134,RANBIR GENUINE PROMISE FLIPKART Tv AD Ringtone 2019 Free Download https://t.co/gs4UkG69Ki https://t.co/Tp5teoatR8
135,@yoyorajsoni @RedmiIndia @amazonIN @Flipkart Hamara to aayega bhai jan me...
136,"Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans - https://t.co/GlQvCFZH20 https://t.co/UN5ab4RWgN"
137,@PriyankkaVerma @Flipkart Not @Flipkart and @amazonIN  but the vendors associated with them are selling first copy… https://t.co/pYJwTemI8h
138,RT @_prateekbh: @amandeepkochhar @flipkart_tech @_megsachdev @Google @AMPhtml @googlechrome Indeed
139,@narendramodi @amazonIN @Flipkart  Is it possible to put a #madeinindia tag on all the products on your site? Will… https://t.co/n8gL2vwkum
140,"Reliance likely to enter E-Commerce space by Diwali 2020 ... !!!

# Competition to Amazon and Flipkart 

-- Disruption --"
141,"RT @FlipkartStories: When he quit his job and became an online #entrepreneur, Hiren Lathiya had a rocky start. That’s when @FlipkartSellers…"
142,"RT @Troll_Cinema: . @reliancegroup likely to enter E-Commerce space by Diwali 2020. 

Competition to Amazon and Flipkart. https://t.co/5mNH…"
143,The lack of credibility extends to the tech media as well. You might write all the reviews and make all sorts of vi… https://t.co/kpGbzaOIzy
144,RT @NushBrand: Work it out (or just have fun) with the #NushAthleisure collection!💃🏽 Available now on https://t.co/Zq9IUPabSp @myntra – htt…
145,"RT @BALRAMS69713136: @Cashkaro_Cares 
 cashkaro did not understand my concern and I order a laptop through cashkaro to Flipkart but my cash…"
146,@flipkartsupport @Flipkart Very bad experience from your customer care executive senior manager. Literally he is te… https://t.co/x5lhC2rDq0
147,@flipkartsupport @Flipkart @jagograhakjago Please take action here
148,"@flipkartsupport @Flipkart wow flipkart, after raising complaint about delayed delivery of my previous order, now y… https://t.co/qEavUtyXt8"
149,@manukumarjain @XiaomiIndia @RedmiIndia Don't know why the buyback is so low... #RedmiK20Pro on Flipkart.. could sh… https://t.co/uKnoosQRG2
150,@flipkartsupport. Ordered 2 items and both delivered way after delivery date. One phone ordered ( OD117378346526939… https://t.co/mLKseUXNkf
151,@amandeepkochhar @flipkart_tech @_megsachdev @Google @AMPhtml @googlechrome Indeed
152,"@Flipkart Sir
     Please unblock my account I am a not reseller"
153,@flipkartsupport When  it will be picked up and I need my money back. Flipkart sell duplicate product and u re FRAUD
154,"Firms like Uber / Flipkart / WeWork who gave large discounts to get consumers hooked, might see a large Price Elast… https://t.co/Fz3fhvl1uU"
155,"I purchased a BT Speaker worth 2599 bt quality of sound is absolutely rubbish. Unable to return product, there is o… https://t.co/izFh7AWCt8"
156,CC_ @Walmart @_Kalyan_K @iyerkrish your customer support at Flipkart really sucks. Every single time I call up I end up disappointed.
157,"RT @RedmiIndia: Zoom into #NewYear2020 with the ultimate #FlagshipKiller! 😎

Get the #RedmiK20Pro and #RedmiK20 at outstanding prices. Buy…"
158,"@anantydw To ensure that your Flipkart account information is safe, please start a private message with us by click… https://t.co/CfyzQKWID4"
159,@flipkartsupport please poll. @Flipkart  customers representative solve you problam on time. @TrakinTech @8ap… https://t.co/4jTYVimr1M
160,"@Flipkart showing deliver products on 25th Dec , I am waiting for my product , not get product till now. https://t.co/OT8ptTvDNp"
161,New post in Loot Alert - Online Loot Deals Recharge Offers Coupons: Samsung Galaxy M40 (6GB RAM + 128GB Storage) at… https://t.co/BmKUA5wWDC
162,"RT @Kalingatv: Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans #Amazon #flipkart #reliance 
https://t.co/IezjVxxqyS"
163,"RT @Hidderkaran: Breaking: Ambani entry confirmed into E-commerce market.
Planning to give Computation for the leading Amazon , Flipkart .…"
164,@ToshniwalEquity @_soniashenoy @_nirajshah Where is flipkart marq brand?
165,"@Flipkart i am going to uninstall flipkart from my phone,and i advise to my friends l,reletives dont use flipkart"
166,@Flipkart cheater flipkart
167,@realmemobiles @Flipkart @realmemobiles @Flipkart When are you going to launch Black Variant of Realme Buds Air? De… https://t.co/lVYTdtM05v
168,RT @VrindaSinghCha1: The romantic thriller of 2020. Five minutes by Vrinda Singh. Grab your copies from @amazon @Flipkart @ShopClues and @b…
169,@Abhishe54505839 @Flipkart very rude behaviour &amp; it's not solve any problem of customers.Flipkart have only one sen… https://t.co/8Hj53EH6Uf
170,"BPO Flipkart Freshers &amp; Exp BPO Customer Service Bangalore in Bangalore, Karnataka, India: bpo https://t.co/hvrCoIlzEJ"
171,"@flipkartsupport Return policy show clearly mentions all return reasons accepted refund/ returns and exchange ,why… https://t.co/b5BJ8HHZm5"
172,@Flipkart मैंने flipkart से एक nike का जूता मंगया था लेकीन वो जूता मे size का issue आ गया और जब मैंने return reques… https://t.co/HsvaPpxFvR
173,"Hey @GooglePay!
I paid thru you &amp; the transaction got delayed, later the amount got deducted &amp; now the app says the… https://t.co/FNrl9wqQdC"
174,@atif1202 @flipkartsupport @Flipkart very rude behaviour &amp; it's not solve any problem of customers.Flipkart have on… https://t.co/BlXLWmc1M0
175,Can we buy a product in flipkart using amazon pay balance?
176,"@agam01332 Agam, I would request you to contact Flipkart for further assistance for delivery issues. 

^Smitha"
177,Been a while flipkart is messing up with my orders. Seriously the experience are worse. Please take things care ful… https://t.co/dJuRi6RdKR
178,@Flipkart Please look into this matter. I've been already contacted with you about the same. And didn't find any so… https://t.co/T9m1BQYsDG
179,flipkart delivery facility is very poor I was called by the delivery person at today morning at near about 8 o cloc… https://t.co/QeCKKSUYY0
180,"@AntAudioUK i have purchased ant audio wave480 from Flipkart but after one month it is not working condition.
I hav… https://t.co/CaztuyflYZ"
181,"RT @Cashkarocom: New Year, New Phone! Shop Now &amp; get Cashback Rewards on top: https://t.co/wB9tiftWae
.
#mobiles #mobilephone #CashKaro #Ca…"
182,"*पति : डार्लिंग, तुम मेरे कान में ऐसा कुछ कहो की में हँसते हँसते रो पड़ू...!!
😄😁——😢😭

*पत्नी : *आज मैंने Flipkart… https://t.co/CsgR0LlA3w"
183,"New Year, New Phone! Shop Now &amp; get Cashback Rewards on top: https://t.co/wB9tiftWae
.
#mobiles #mobilephone… https://t.co/bkdwqyzgAj"
184,Flash Back 2019: બન્ની બંસલની ફ્લિપકાર્ટમાંથી એક્ઝિટ https://t.co/I3YV1ZIrId
185,@RAMESHB78201111 @RedmiIndia @amazonIN @Flipkart 2020 may
186,@flipkartsupport OD117395646779521000 Numero uno slim men’s jeans I am create return request for this product size… https://t.co/LVl7JaQNcp
187,"@flipkartsupport @Flipkart I bought shoe from Flipkart,which is duplicate and of poor quality.I inititaed return re… https://t.co/2FEGNa3gyA"
188,"@flipkartsupport What happened...???
Why no one reply....
Flipkart must have to pickup item on time, to avoid the c… https://t.co/9S6EzLqSkj"
189,"@flipkartsupport @Flipkart I bought shoe from Flipkart,which is duplicate and of poor quality.I inititaed return re… https://t.co/BlqucqsvZB"
190,@flipkartsupport @Flipkart @flipkartsupport @Walmart could u anwer my question or nt ?
191,Been complaining to @flipkart @flipkartsupport from about 10 days as my return request were getting rejected. No so… https://t.co/yISOS93wZg
192,@TheFarahKhan @Flipkart Farah age se comedy karni ho to soch samazh ke karna .
193,@rabbagundu Sorry to hear that. We understand your concern about the Flipkart Plus. Request you to share the regist… https://t.co/Yrw1UGcxCT
194,The later part of 2019 was not all that bad for #Amazon and #Flipkart as festive sales brought in record revenue fo… https://t.co/FPPdMqNCpA
195,@flipkartsupport @_Kalyan_K @Flipkart @Jeet1504 @JustJJC19 @_sachinbansal @_Kalyan_K @JustJJC19 @Jeet1504 @ser_ammy… https://t.co/wpMZxhZ6P5
196,"#CheapestPrice
WOW Skin Science Luxuriant Ubtan Kit (350 Ml) Worth Rs.1,446 Offer Price Rs.699… https://t.co/PRjU7pH23k"
197,I'm so many times login with student id still not have a flipkart plus
198,@AmazonHelp @amazonIN @amazon I think u require 24 hrs to wake up &amp; another 24 hrs to take action. What a poor mode… https://t.co/sju2WGkef1
199,(85% Off) Ishin Floral Print Fashion Synthetic Georgette Saree(Pink) at Rs.239 https://t.co/ZyAj9TRLWm
200,@TimesNow @RiaRevealed @RahulGandhi @ReallySwara @khanumarfa @BDUTT @SameeraKhan @harsh_mander @Ram_Guha… https://t.co/RQTwGMXMhV
201,"What is this flipkart, you are really careless Everybody check India largest ecommoerce company look this app 😡😡😡… https://t.co/7Byk5FIOXW"
202,"New post: Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans https://t.co/iiaEktRbWu"
203,@RedmiIndia @amazonIN @Flipkart Please improve #RedmiNote8Pro camera. Camera performance are very bad in low light… https://t.co/X8UKP7dYUU
204,"@_prateekbh @flipkart_tech @_megsachdev @Google @AMPhtml @googlechrome Wow, you had a hell of decade 🔥"
205,"Flipkart freshers for BPO Voice process Bangalore in Bangalore, Karnataka, India: bpo https://t.co/bQ4a8quqYo"
206,@Flipkart Price Thora jayada h kuch kam nhi hoga kya
207,"@Flipkart @Facebook @flipkartsupport 

Some fake sites are making money by using your name , fake adds are posted i… https://t.co/lOnBzK2hkc"
208,"@flipkartsupport @Flipkart @HPIndia Order ID - OD117419708356248000 
please solve my problem..… https://t.co/wzfTZ1paiz"
209,"@realmecareIN @Flipkart @Flipkart Could you please answer , I can buy the CMP plan or not ?"
210,"@YouTubeIndia @Flipkart I don't want thanks 😂, i want 150 supercoin refunded ."
211,@Flipkart  dear Flipkart as i report this is still showing same ads and onnfb page. https://t.co/e71nNSis0E
212,"@flipkartsupport @Flipkart 

Again delay. In a row my third order is delayed. https://t.co/gVhC1Vwv0z"
213,"Fresher Graduates for Flipkart BPO in Bangalore, Karnataka, India: bpo https://t.co/EEWN51uxkB"
214,@Flipkart @flipkartsupport @flipkartsupport A big fraud company you all have provided me fake and used different pr… https://t.co/Ik7NEY8Km4
215,"Shivanshu Singh, a @Flipkart veteran who started with the company when it was still operating out of a 2BHK office… https://t.co/uPrY3c66v0"
216,@Flipkart @flipkartsupport Such a pathetic Service by flipkart team. After 2 days followup with support team my ord… https://t.co/tcVkg5Ci85
217,@IDFCFIRSTBank  worst bank when it comes to customer service.  Thry dont care for people. Still they have not verif… https://t.co/wCPKgg172z
218,"@TruthExpose3 Sorry to hear that. We understand that you are facing an issue with the Flipkart account. Be assured,… https://t.co/keVdQqkMTs"
219,"Domestic BPO hiring for Flipkart process Bangalore 9916839275 in Bangalore, Karnataka, India: bpo https://t.co/J5WllfKwsE"
220,RT @MiRakshak: @YouTubeIndia @Flipkart
221,"RT @MiRakshak: Look @ in the pic. Offer of @YouTubeIndia primium is only valid before 20th October 2019 ,so why this add is still showing i…"
222,@YouTubeIndia @Flipkart
223,@mohitoz @amazonIN @Flipkart @swiggy_in @Zomato In agreement.
224,"@Hussain_ugb27 To make sure that your Flipkart account information is safe, please DM us by clicking the below link… https://t.co/EwvwEATf4f"
225,"@Rajeevgangwar01 To ensure that your Flipkart account information is safe, please start a private message with us b… https://t.co/wSP7I6QqkW"
226,Flipkart plus – Get 1 Year Free Flipkart Plus Membership For Students. https://t.co/Kt4q6rWIzQ https://t.co/NOTD7skeVY
227,"Look @ in the pic. Offer of @YouTubeIndia primium is only valid before 20th October 2019 ,so why this add is still… https://t.co/BZNZAISUH5"
228,"@_Kalyan_K @Flipkart Dear flipkart you have blocked my account citing reason ""Payment Irregularities"" But your team… https://t.co/lORUxusoa9"
229,"Tough 2020 awaits Amazon, Flipkart as Reliance firms up plans https://t.co/Xonamfi8IB https://t.co/QtnDdjL5sp"
230,"@Flipkart Dear flipkart you have blocked my account citing reason ""Payment Irregularities"" But your team is not abl… https://t.co/VRtbYu6vlL"
231,"Worst service by @Flipkart and its courier partner Gati courier..
Bought an @iFFALCONIndia 40inch tv, estimate date… https://t.co/HnFGIoXZyz"
232,RT @therahuja: @AmazonHelp @amazonIN Pathetic Service by your Team and Courier Partner. Order 405-8564989-0128359 not delivered inspite of…
233,Same laptop is available on Amazon at so much lower price i don't know why flipkart charging too much. Very disappo… https://t.co/qsZqfXzbXz
234,@realmemobiles Dear Realme.... Kindly sell your phone's via amazon ...Not on flipkart. As in india now no one wants… https://t.co/bSRmj8olaa
